region,date,sessions,add_to_carts,checkouts,total_orders
Mexico City,3/25/2024,20993.3,790.5,372.3,108.8
Mexico City,5/13/2024,20983.1,693.6,353.6,95.2
Mexico City,6/29/2024,20913.4,994.5,549.1,85
Mexico City,6/19/2024,20910,1028.5,620.5,112.2
Mexico City,4/21/2024,20869.2,714,300.9,69.7
Mexico City,3/13/2024,20852.2,865.3,377.4,73.1
México,9/7/2024,20842,853.4,428.4,39.1
Mexico City,3/15/2024,20836.9,953.7,540.6,76.5
México,7/24/2024,20765.5,1360,644.3,190.4
Mexico City,5/28/2024,20704.3,851.7,428.4,90.1
Mexico City,5/14/2024,20609.1,773.5,438.6,115.6
Mexico City,2/1/2024,20578.5,1047.2,856.8,120.7
Mexico City,9/14/2024,20544.5,1280.1,940.1,83.3
Mexico City,1/8/2024,20542.8,834.7,674.9,108.8
Mexico City,4/14/2024,20519,722.5,355.3,95.2
México,7/23/2024,20478.2,997.9,414.8,91.8
Mexico City,3/22/2024,20445.9,765,341.7,76.5
Mexico City,3/23/2024,20437.4,736.1,316.2,78.2
Mexico City,3/27/2024,20435.7,725.9,363.8,102
Mexico City,5/24/2024,20381.3,746.3,508.3,102
México,7/22/2024,20352.4,957.1,476,124.1
Mexico City,6/13/2024,20347.3,921.4,516.8,61.2
Mexico City,3/20/2024,20326.9,929.9,491.3,107.1
Mexico City,5/10/2024,20262.3,637.5,328.1,76.5
Mexico City,1/7/2024,20260.6,797.3,600.1,83.3
Nuevo León,11/6/2024,20241.9,960.5,547.4,51
Jalisco,11/25/2024,20139.9,627.3,306,93.5
Nuevo León,11/4/2024,20080.4,1190,737.8,52.7
Jalisco,11/26/2024,20068.5,571.2,258.4,81.6
Mexico City,2/8/2024,20060,724.2,640.9,83.3
Mexico City,1/1/2024,20031.1,744.6,622.2,62.9
Mexico City,3/3/2024,20005.6,708.9,326.4,68
México,5/17/2024,19978.4,707.2,326.4,52.7
México,7/18/2024,19969.9,1018.3,430.1,86.7
Mexico City,1/3/2024,19934.2,1023.4,926.5,115.6
México,7/17/2024,19811.8,975.8,423.3,93.5
Mexico City,1/4/2024,19765.9,1071,1045.5,83.3
Mexico City,2/13/2024,19750.6,722.5,736.1,73.1
México,11/22/2024,19692.8,489.6,217.6,42.5
Nuevo León,11/30/2024,19624.8,544,287.3,71.4
Mexico City,3/26/2024,19597.6,778.6,333.2,83.3
México,7/21/2024,19493.9,929.9,452.2,125.8
Mexico City,5/27/2024,19454.8,685.1,416.5,122.4
Mexico City,3/21/2024,19385.1,805.8,462.4,107.1
Mexico City,1/18/2024,19364.7,717.4,545.7,59.5
Mexico City,6/9/2024,19298.4,1108.4,547.4,96.9
Mexico City,2/16/2024,19296.7,676.6,596.7,86.7
Mexico City,1/9/2024,19295,885.7,693.6,96.9
Mexico City,3/14/2024,19278,848.3,384.2,73.1
Mexico City,1/17/2024,19276.3,703.8,593.3,102
Mexico City,4/26/2024,19272.9,673.2,365.5,74.8
Nuevo León,11/11/2024,19247.4,880.6,515.1,59.5
Mexico City,4/20/2024,19172.6,571.2,261.8,49.3
Mexico City,6/20/2024,19152.2,984.3,537.2,86.7
Mexico City,2/15/2024,19106.3,698.7,620.5,85
Nuevo León,11/8/2024,19085.9,666.4,346.8,42.5
Mexico City,6/16/2024,19079.1,936.7,498.1,100.3
Mexico City,1/10/2024,19053.6,741.2,610.3,69.7
Mexico City,9/15/2024,19031.5,1234.2,882.3,68
Jalisco,11/20/2024,19029.8,552.5,249.9,62.9
México,5/18/2024,19017.9,627.3,314.5,61.2
Nuevo León,11/7/2024,18989,899.3,513.4,40.8
México,10/1/2024,18968.6,792.2,414.8,68
México,7/19/2024,18932.9,909.5,425,113.9
Mexico City,3/28/2024,18922.7,802.4,382.5,105.4
Mexico City,6/14/2024,18912.5,899.3,540.6,79.9
Mexico City,1/15/2024,18900.6,753.1,632.4,110.5
Jalisco,7/16/2024,18866.6,918,334.9,81.6
Jalisco,11/28/2024,18864.9,498.1,261.8,88.4
Jalisco,11/21/2024,18757.8,598.4,260.1,61.2
Nuevo León,11/10/2024,18723.8,753.1,433.5,57.8
Mexico City,2/19/2024,18713.6,708.9,640.9,73.1
Mexico City,6/27/2024,18711.9,957.1,588.2,107.1
Mexico City,6/5/2024,18708.5,775.2,482.8,86.7
Mexico City,3/2/2024,18708.5,649.4,312.8,66.3
Mexico City,1/2/2024,18705.1,1054,901,127.5
Mexico City,3/16/2024,18701.7,797.3,513.4,93.5
Jalisco,11/14/2024,18691.5,586.5,266.9,69.7
Mexico City,2/29/2024,18657.5,600.1,360.4,88.4
México,7/20/2024,18615,878.9,363.8,85
México,5/20/2024,18570.8,683.4,453.9,79.9
Nuevo León,5/16/2024,18516.4,637.5,272,57.8
México,9/5/2024,18502.8,804.1,503.2,68
Mexico City,6/21/2024,18490.9,933.3,476,71.4
Mexico City,1/16/2024,18477.3,702.1,576.3,93.5
Mexico City,2/12/2024,18431.4,724.2,652.8,76.5
Mexico City,6/4/2024,18368.5,827.9,489.6,81.6
Mexico City,1/19/2024,18351.5,703.8,532.1,73.1
Mexico City,2/28/2024,18314.1,693.6,472.6,76.5
Jalisco,12/2/2024,18312.4,681.7,481.1,122.4
México,11/14/2024,18268.2,431.8,244.8,59.5
Mexico City,5/25/2024,18235.9,615.4,329.8,85
Jalisco,12/3/2024,18234.2,680,392.7,95.2
Mexico City,6/8/2024,18218.9,902.7,506.6,85
Mexico City,6/25/2024,18215.5,933.3,552.5,83.3
Mexico City,3/31/2024,18166.2,729.3,367.2,110.5
Mexico City,2/7/2024,18142.4,821.1,678.3,68
Jalisco,11/19/2024,18125.4,554.2,333.2,90.1
Mexico City,2/6/2024,18040.4,770.1,714,79.9
Mexico City,6/6/2024,17926.5,775.2,445.4,64.6
Mexico City,2/17/2024,17841.5,654.5,576.3,79.9
Mexico City,3/17/2024,17839.8,817.7,530.4,85
México,11/20/2024,17783.7,425,229.5,62.9
Mexico City,6/3/2024,17780.3,705.5,450.5,64.6
Mexico City,6/7/2024,17778.6,810.9,455.6,52.7
Mexico City,4/27/2024,17778.6,583.1,294.1,52.7
México,9/8/2024,17775.2,826.2,484.5,71.4
Mexico City,2/18/2024,17691.9,685.1,571.2,91.8
Mexico City,6/24/2024,17557.6,897.6,479.4,88.4
Mexico City,1/21/2024,17537.2,678.3,510,59.5
Mexico City,6/26/2024,17528.7,906.1,513.4,81.6
Mexico City,1/22/2024,17528.7,654.5,584.8,86.7
Jalisco,11/13/2024,17503.2,581.4,244.8,47.6
Jalisco,12/1/2024,17474.3,606.9,333.2,108.8
Nuevo León,11/3/2024,17404.6,1030.2,724.2,47.6
Mexico City,6/15/2024,17375.7,819.4,459,54.4
Mexico City,12/30/2023,17367.2,797.3,761.6,76.5
México,5/22/2024,17363.8,656.2,326.4,61.2
México,9/6/2024,17362.1,724.2,421.6,56.1
Mexico City,1/5/2024,17360.4,780.3,698.7,95.2
Mexico City,2/9/2024,17348.5,612,533.8,64.6
Mexico City,2/27/2024,17120.7,589.9,600.1,74.8
Jalisco,9/7/2024,17088.4,557.6,130.9,32.3
México,7/3/2024,17079.9,598.4,273.7,57.8
Mexico City,6/23/2024,17073.1,848.3,520.2,95.2
Jalisco,11/27/2024,17045.9,515.1,215.9,59.5
México,10/17/2024,16971.1,474.3,197.2,45.9
Mexico City,1/6/2024,16960.9,749.7,698.7,105.4
Mexico City,5/26/2024,16943.9,603.5,357,81.6
Mexico City,1/25/2024,16916.7,595,578,78.2
Jalisco,5/16/2024,16886.1,678.3,319.6,73.1
México,11/21/2024,16809.6,464.1,249.9,59.5
México,9/9/2024,16794.3,799,510,59.5
Mexico City,12/29/2023,16789.2,884,724.2,90.1
Mexico City,1/12/2024,16717.8,768.4,566.1,81.6
México,11/28/2024,16705.9,453.9,217.6,52.7
Mexico City,1/11/2024,16637.9,698.7,632.4,98.6
Mexico City,1/24/2024,16636.2,596.7,550.8,76.5
Nuevo León,10/1/2024,16634.5,671.5,204,47.6
Jalisco,11/12/2024,16629.4,571.2,260.1,49.3
Nuevo León,11/9/2024,16612.4,612,404.6,52.7
Nuevo León,7/24/2024,16605.6,1575.9,589.9,161.5
Mexico City,2/20/2024,16598.8,595,593.3,66.3
Mexico City,2/4/2024,16598.8,673.2,622.2,69.7
Mexico City,12/28/2023,16524,912.9,880.6,103.7
México,8/1/2024,16517.2,666.4,311.1,54.4
México,7/2/2024,16501.9,547.4,249.9,40.8
México,7/26/2024,16456,846.6,387.6,144.5
Mexico City,1/29/2024,16425.4,620.5,523.6,81.6
Jalisco,7/18/2024,16391.4,982.6,411.4,105.4
Mexico City,2/5/2024,16371,714,714,81.6
Mexico City,2/2/2024,16326.8,703.8,615.4,79.9
Mexico City,1/20/2024,16323.4,632.4,433.5,45.9
Mexico City,2/3/2024,16304.7,685.1,569.5,64.6
Mexico City,6/22/2024,16274.1,775.2,459,79.9
México,4/1/2024,16194.2,523.6,270.3,68
Nuevo León,7/16/2024,16131.3,681.7,275.4,57.8
Jalisco,9/8/2024,16092.2,635.8,200.6,47.6
Mexico City,2/26/2024,16087.1,596.7,535.5,61.2
Jalisco,10/1/2024,16083.7,601.8,200.6,51
México,4/2/2024,16065,528.7,243.1,66.3
Mexico City,1/14/2024,16056.5,724.2,528.7,90.1
Nuevo León,10/30/2024,16046.3,963.9,729.3,42.5
Jalisco,9/5/2024,16037.8,499.8,180.2,39.1
Mexico City,2/11/2024,16010.6,673.2,639.2,61.2
Jalisco,7/23/2024,15991.9,848.3,401.2,91.8
México,12/2/2024,15985.1,571.2,343.4,95.2
México,11/26/2024,15978.3,404.6,181.9,39.1
México,11/19/2024,15961.3,419.9,265.2,39.1
Mexico City,1/31/2024,15937.5,642.6,635.8,73.1
México,7/10/2024,15900.1,600.1,227.8,52.7
Mexico City,5/31/2024,15896.7,720.8,532.1,103.7
Mexico City,3/29/2024,15866.1,635.8,345.1,86.7
Nuevo León,5/17/2024,15815.1,555.9,229.5,44.2
Nuevo León,5/19/2024,15786.2,474.3,193.8,42.5
Jalisco,7/17/2024,15704.6,846.6,311.1,74.8
Mexico City,5/29/2024,15679.1,744.6,418.2,90.1
Jalisco,11/29/2024,15667.2,494.7,404.6,112.2
Jalisco,7/22/2024,15648.5,946.9,363.8,86.7
México,5/21/2024,15645.1,664.7,402.9,83.3
Jalisco,9/9/2024,15626.4,588.2,209.1,47.6
Nuevo León,10/28/2024,15616.2,686.8,399.5,28.9
Mexico City,1/13/2024,15611.1,673.2,523.6,78.2
,11/15/2024,15594.1,601.8,351.9,81.6
México,7/27/2024,15575.4,756.5,351.9,66.3
México,8/5/2024,15560.1,527,251.6,66.3
México,9/12/2024,15556.7,739.5,462.4,44.2
Jalisco,7/24/2024,15555,1195.1,501.5,113.9
Nuevo León,5/18/2024,15534.6,479.4,190.4,47.6
México,11/25/2024,15471.7,377.4,232.9,49.3
Mexico City,2/10/2024,15456.4,554.2,567.8,54.4
México,10/2/2024,15442.8,622.2,321.3,59.5
Jalisco,5/19/2024,15400.3,513.4,251.6,52.7
México,11/13/2024,15395.2,459,222.7,40.8
México,7/29/2024,15390.1,685.1,351.9,78.2
Nuevo León,9/7/2024,15385,392.7,130.9,45.9
Mexico City,3/30/2024,15378.2,608.6,294.1,73.1
Mexico City,1/28/2024,15371.4,588.2,503.2,59.5
Jalisco,11/6/2024,15318.7,561,226.1,49.3
Jalisco,11/5/2024,15255.8,569.5,187,54.4
México,12/1/2024,15252.4,462.4,273.7,83.3
Jalisco,5/17/2024,15245.6,644.3,287.3,66.3
,9/7/2024,15238.8,1511.3,1157.7,23.8
México,9/10/2024,15223.5,724.2,423.3,62.9
México,7/9/2024,15216.7,601.8,246.5,34
México,8/31/2024,15186.1,615.4,348.5,42.5
Jalisco,9/6/2024,15138.5,431.8,170,49.3
Jalisco,7/19/2024,15124.9,856.8,363.8,105.4
Mexico City,2/14/2024,15046.7,593.3,547.4,64.6
Nuevo León,7/23/2024,15041.6,912.9,416.5,105.4
México,12/3/2024,15039.9,518.5,278.8,73.1
Jalisco,5/18/2024,14965.1,515.1,249.9,64.6
México,5/1/2024,14956.6,499.8,226.1,56.1
México,7/1/2024,14837.6,547.4,260.1,47.6
Nuevo León,5/20/2024,14830.8,481.1,232.9,59.5
Mexico City,6/2/2024,14795.1,640.9,384.2,64.6
Mexico City,6/1/2024,14791.7,681.7,487.9,98.6
México,8/27/2024,14779.8,634.1,355.3,45.9
México,12/5/2023,14774.7,606.9,496.4,85
Mexico City,1/23/2024,14764.5,561,452.2,54.4
Mexico City,12/27/2023,14757.7,809.2,765,83.3
Mexico City,5/30/2024,14747.5,759.9,518.5,68
Nuevo León,10/29/2024,14691.4,943.5,703.8,28.9
Mexico City,1/26/2024,14672.7,542.3,487.9,51
Mexico City,1/27/2024,14655.7,484.5,387.6,51
Jalisco,10/17/2024,14650.6,430.1,129.2,32.3
Nuevo León,5/23/2024,14643.8,445.4,258.4,54.4
México,11/12/2024,14637,436.9,205.7,40.8
Jalisco,7/20/2024,14633.6,872.1,348.5,102
Nuevo León,7/13/2024,14631.9,464.1,207.4,37.4
México,4/3/2024,14543.5,493,260.1,51
Mexico City,2/25/2024,14541.8,501.5,406.3,40.8
,10/17/2024,14540.1,1319.2,1128.8,28.9
Jalisco,5/20/2024,14516.3,559.3,295.8,64.6
Jalisco,9/12/2024,14501,508.3,173.4,30.6
México,5/5/2024,14485.7,479.4,219.3,47.6
Jalisco,11/30/2024,14431.3,481.1,246.5,69.7
Mexico City,1/30/2024,14405.8,618.8,544,91.8
Jalisco,5/23/2024,14402.4,493,334.9,78.2
Jalisco,11/7/2024,14400.7,542.3,209.1,52.7
Jalisco,7/21/2024,14344.6,834.7,326.4,78.2
Nuevo León,11/2/2024,14339.5,902.7,666.4,35.7
Mexico City,2/23/2024,14312.3,527,477.7,66.3
México,9/3/2024,14310.6,671.5,421.6,57.8
México,10/16/2024,14291.9,414.8,178.5,64.6
México,8/2/2024,14283.4,530.4,222.7,68
Nuevo León,9/5/2024,14276.6,438.6,86.7,20.4
,9/5/2024,14271.5,1535.1,1351.5,30.6
Nuevo León,7/22/2024,14247.7,844.9,360.4,83.3
Jalisco,12/5/2023,14247.7,663,467.5,66.3
Jalisco,9/10/2024,14234.1,620.5,221,51
Mexico City,12/31/2023,14215.4,647.7,567.8,71.4
México,7/31/2024,14208.6,683.4,377.4,98.6
,7/16/2024,14174.6,1302.2,780.3,47.6
México,10/10/2024,14154.2,445.4,154.7,32.3
México,10/7/2024,14082.8,654.5,338.3,47.6
Jalisco,10/10/2024,14076,435.2,168.3,34
,11/23/2024,14021.6,312.8,139.4,20.4
Veracruz,5/15/2024,14008,416.5,192.1,40.8
México,12/6/2023,14004.6,656.2,482.8,88.4
Nuevo León,7/18/2024,13975.7,834.7,295.8,88.4
México,8/6/2024,13974,532.1,277.1,74.8
México,11/29/2024,13943.4,421.6,304.3,85
,5/16/2024,13934.9,487.9,249.9,49.3
México,8/15/2024,13923,612,285.6,49.3
Nuevo León,10/17/2024,13919.6,435.2,144.5,30.6
,11/16/2024,13911.1,450.5,272,47.6
México,7/11/2024,13887.3,476,219.3,47.6
México,8/13/2024,13885.6,642.6,307.7,69.7
Jalisco,8/31/2024,13880.5,469.2,180.2,56.1
México,4/4/2024,13868.6,442,261.8,64.6
México,8/12/2024,13868.6,532.1,319.6,76.5
,9/6/2024,13861.8,1506.2,1251.2,27.2
