2025-07-06 15:47:52 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 40 completed for size 118. MDE found: 0.02 with p-value: 0.0966
2025-07-06 15:48:04 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 50 completed for size 118. MDE found: 0.060000000000000005 with p-value: 0.0936
2025-07-06 15:48:14 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 60 completed for size 118. MDE found: 0.09999999999999999 with p-value: 0.0971
2025-07-06 15:48:25 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 30 completed for size 119. MDE found: None with p-value: None
2025-07-06 15:48:36 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 40 completed for size 119. MDE found: 0.03 with p-value: 0.0847
2025-07-06 15:48:36 | INFO     | Murray.main:BetterGroups:477 | Processed 17000/170000 groups
2025-07-06 15:48:47 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 50 completed for size 119. MDE found: 0.060000000000000005 with p-value: 0.088
2025-07-06 15:48:57 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 60 completed for size 119. MDE found: 0.09 with p-value: 0.0968
2025-07-06 15:49:08 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 30 completed for size 120. MDE found: None with p-value: None
2025-07-06 15:49:19 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 40 completed for size 120. MDE found: 0.09 with p-value: 0.0951
2025-07-06 15:49:30 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 50 completed for size 120. MDE found: 0.14 with p-value: 0.0999
2025-07-06 15:49:41 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 60 completed for size 120. MDE found: None with p-value: None
2025-07-06 15:49:51 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 30 completed for size 122. MDE found: 0.14 with p-value: 0.0949
2025-07-06 15:50:02 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 40 completed for size 122. MDE found: 0.04 with p-value: 0.0847
2025-07-06 15:50:13 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 50 completed for size 122. MDE found: 0.08 with p-value: 0.0932
2025-07-06 15:50:24 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 60 completed for size 122. MDE found: 0.12 with p-value: 0.0973
2025-07-06 15:50:35 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 30 completed for size 123. MDE found: None with p-value: None
2025-07-06 15:50:45 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 40 completed for size 123. MDE found: 0.01 with p-value: 0.0988
2025-07-06 15:50:56 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 50 completed for size 123. MDE found: 0.060000000000000005 with p-value: 0.0935
2025-07-06 15:51:07 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 60 completed for size 123. MDE found: 0.09999999999999999 with p-value: 0.0954
2025-07-06 15:51:18 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 30 completed for size 126. MDE found: None with p-value: None
2025-07-06 15:51:29 | INFO     | Murray.main:evaluate_sensitivity:731 | Period 40 completed for size 126. MDE found: 0.02 with p-value: 0.0915
