2025-10-05 21:01:19 | WARNING  | Murray.auxiliary:handle_duplicates:32 | Found 6 duplicate entries in the data. Aggregating by mean.
2025-10-05 21:01:19 | WARNING  | Murray.auxiliary:handle_duplicates:23 | DataFrame is empty, returning as is
2025-10-05 21:01:19 | WARNING  | Murray.auxiliary:handle_duplicates:32 | Found 4 duplicate entries in the data. Aggregating by sum.
2025-10-05 21:01:19 | WARNING  | Murray.auxiliary:handle_duplicates:32 | Found 4 duplicate entries in the data. Aggregating by first.
2025-10-05 21:01:19 | WARNING  | Murray.auxiliary:handle_duplicates:32 | Found 4 duplicate entries in the data. Aggregating by last.
2025-10-05 21:01:19 | WARNING  | Murray.auxiliary:handle_duplicates:32 | Found 4 duplicate entries in the data. Aggregating by mean.
2025-10-05 21:01:19 | WARNING  | Murray.auxiliary:handle_duplicates:32 | Found 4 duplicate entries in the data. Aggregating by mean.
2025-10-05 21:01:19 | WARNING  | Murray.auxiliary:handle_duplicates:32 | Found 6 duplicate entries in the data. Aggregating by mean.
2025-10-05 21:01:19 | WARNING  | Murray.auxiliary:handle_duplicates:32 | Found 4 duplicate entries in the data. Aggregating by mean.
2025-10-05 21:01:19 | WARNING  | Murray.auxiliary:handle_duplicates:32 | Found 10000 duplicate entries in the data. Aggregating by mean.
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:857 | Starting multi-cell flexible with location exclusivity
2025-10-05 21:01:19 | INFO     | Murray.main:BetterGroups:919 | Processed 1/375 total groups
2025-10-05 21:01:20 | INFO     | Murray.main:BetterGroups:919 | Processed 37/375 total groups
2025-10-05 21:01:20 | INFO     | Murray.main:BetterGroups:919 | Processed 3/154 total groups
2025-10-05 21:01:21 | INFO     | Murray.main:BetterGroups:919 | Processed 15/154 total groups
2025-10-05 21:01:21 | INFO     | Murray.main:BetterGroups:919 | Processed 30/154 total groups
2025-10-05 21:01:21 | INFO     | Murray.main:BetterGroups:919 | Processed 45/154 total groups
2025-10-05 21:01:22 | INFO     | Murray.main:BetterGroups:919 | Processed 5/25 total groups
2025-10-05 21:01:22 | INFO     | Murray.main:BetterGroups:919 | Processed 6/25 total groups
2025-10-05 21:01:22 | INFO     | Murray.main:BetterGroups:919 | Processed 8/25 total groups
2025-10-05 21:01:22 | INFO     | Murray.main:BetterGroups:1008 | Starting single-cell mode
2025-10-05 21:01:22 | INFO     | Murray.main:BetterGroups:1040 | Processed 1/375 groups
2025-10-05 21:01:23 | INFO     | Murray.main:BetterGroups:1040 | Processed 37/375 groups
2025-10-05 21:01:23 | INFO     | Murray.main:BetterGroups:1040 | Processed 74/375 groups
2025-10-05 21:01:24 | INFO     | Murray.main:BetterGroups:1040 | Processed 111/375 groups
2025-10-05 21:01:25 | INFO     | Murray.main:BetterGroups:1040 | Processed 148/375 groups
2025-10-05 21:01:26 | INFO     | Murray.main:BetterGroups:1040 | Processed 185/375 groups
2025-10-05 21:01:26 | INFO     | Murray.main:BetterGroups:1040 | Processed 222/375 groups
2025-10-05 21:01:27 | INFO     | Murray.main:BetterGroups:1040 | Processed 259/375 groups
2025-10-05 21:01:28 | INFO     | Murray.main:BetterGroups:1040 | Processed 296/375 groups
2025-10-05 21:01:29 | INFO     | Murray.main:BetterGroups:1040 | Processed 333/375 groups
2025-10-05 21:01:30 | INFO     | Murray.main:BetterGroups:1040 | Processed 370/375 groups
2025-10-05 21:01:30 | INFO     | Murray.main:BetterGroups:1040 | Processed 375/375 groups
2025-10-05 21:01:30 | INFO     | Murray.main:BetterGroups:1041 | All groups processed. Results count: 375
2025-10-05 21:01:30 | INFO     | Murray.main:BetterGroups:857 | Starting multi-cell flexible with location exclusivity
2025-10-05 21:01:30 | INFO     | Murray.main:BetterGroups:919 | Processed 1/10 total groups
2025-10-05 21:01:30 | INFO     | Murray.main:BetterGroups:919 | Processed 2/10 total groups
2025-10-05 21:01:30 | INFO     | Murray.main:BetterGroups:919 | Processed 3/10 total groups
2025-10-05 21:01:30 | INFO     | Murray.main:BetterGroups:919 | Processed 4/10 total groups
2025-10-05 21:01:30 | INFO     | Murray.main:BetterGroups:919 | Processed 5/10 total groups
2025-10-05 21:01:30 | INFO     | Murray.main:BetterGroups:919 | Processed 6/10 total groups
2025-10-05 21:01:30 | INFO     | Murray.main:BetterGroups:919 | Processed 7/10 total groups
2025-10-05 21:01:30 | INFO     | Murray.main:BetterGroups:919 | Processed 8/10 total groups
2025-10-05 21:01:30 | INFO     | Murray.main:BetterGroups:919 | Processed 9/10 total groups
2025-10-05 21:01:30 | INFO     | Murray.main:BetterGroups:919 | Processed 10/10 total groups
2025-10-05 21:01:30 | INFO     | Murray.main:BetterGroups:857 | Starting multi-cell flexible with location exclusivity
